Training with hyperparameters: alpha=1, lambda=0.0001
Loaded data with shape [672,25]
Defining graph...

Training on experiment 1/100...
0	Obj: 25.746,	F: 3.934,	Cf: 6.005,	Imb: 0.0052,	Val: 3.624,	ValImb: 0.0051,	ValObj: 22.48
100	Obj: 1.544,	F: 1.330,	Cf: 1.179,	Imb: 0.099,	Val: 1.173,	ValImb: 0.12,	ValObj: 1.58
200	Obj: 1.140,	F: 1.114,	Cf: 1.069,	Imb: 0.044,	Val: 1.121,	ValImb: 0.049,	ValObj: 1.42
300	Obj: 1.062,	F: 1.080,	Cf: 1.042,	Imb: 0.024,	Val: 1.136,	ValImb: 0.03,	ValObj: 1.44
400	Obj: 1.049,	F: 1.075,	Cf: 1.034,	Imb: 0.019,	Val: 1.185,	ValImb: 0.021,	ValObj: 1.50
500	Obj: 1.021,	F: 1.052,	Cf: 1.037,	Imb: 0.016,	Val: 1.181,	ValImb: 0.018,	ValObj: 1.50
600	Obj: 1.096,	F: 1.103,	Cf: 1.061,	Imb: 0.012,	Val: 1.088,	ValImb: 0.015,	ValObj: 1.40
700	Obj: 1.013,	F: 1.039,	Cf: 1.051,	Imb: 0.016,	Val: 1.125,	ValImb: 0.019,	ValObj: 1.44
800	Obj: 0.942,	F: 0.990,	Cf: 1.027,	Imb: 0.018,	Val: 1.099,	ValImb: 0.019,	ValObj: 1.40
900	Obj: 0.920,	F: 0.978,	Cf: 1.024,	Imb: 0.015,	Val: 1.103,	ValImb: 0.019,	ValObj: 1.40
1000	Obj: 0.970,	F: 1.017,	Cf: 1.034,	Imb: 0.018,	Val: 1.121,	ValImb: 0.019,	ValObj: 1.42
1100	Obj: 0.903,	F: 0.965,	Cf: 1.025,	Imb: 0.021,	Val: 1.094,	ValImb: 0.021,	ValObj: 1.40
1200	Obj: 0.878,	F: 0.945,	Cf: 1.020,	Imb: 0.021,	Val: 1.117,	ValImb: 0.019,	ValObj: 1.41
1300	Obj: 0.875,	F: 0.944,	Cf: 1.013,	Imb: 0.021,	Val: 1.101,	ValImb: 0.021,	ValObj: 1.39
1400	Obj: 0.908,	F: 0.957,	Cf: 1.060,	Imb: 0.018,	Val: 1.115,	ValImb: 0.02,	ValObj: 1.45
1500	Obj: 0.861,	F: 0.930,	Cf: 1.025,	Imb: 0.021,	Val: 1.121,	ValImb: 0.022,	ValObj: 1.43
